Log file created at: 2023-12-12 18:11:47 742 140425755850880
2023-12-12 18:27:40 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:27:40 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:27:42 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:27:42 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:28:13 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:28:15 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:37:25 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:37:26 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:37:32 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:37:34 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:41:02 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:41:03 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:41:49 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:41:49 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:41:50 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:41:52 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:44:57 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:44:57 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:44:58 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:45:00 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:45:48 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:45:56 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:45:57 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:46:18 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:46:18 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:46:19 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:46:19 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:47:31 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:47:32 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:47:33 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:47:34 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:47:35 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:47:41 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:47:42 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:47:45 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:48:05 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:48:06 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:48:06 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:48:07 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:48:08 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:48:10 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:48:11 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:48:11 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:48:12 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:48:13 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:48:14 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:48:14 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:48:15 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:48:15 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:48:35 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 18:48:38 742 140425755850880 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-12-12 19:25:54 742 140425755850880 ipc/unix_ipc.cc(290) LOG(WARNING) connect failed: Connection refused
